__time,/fmu/out/actuator_outputs/noutputs,/fmu/out/actuator_outputs/output[0],/fmu/out/actuator_outputs/output[10],/fmu/out/actuator_outputs/output[11],/fmu/out/actuator_outputs/output[12],/fmu/out/actuator_outputs/output[13],/fmu/out/actuator_outputs/output[14],/fmu/out/actuator_outputs/output[15],/fmu/out/actuator_outputs/output[1],/fmu/out/actuator_outputs/output[2],/fmu/out/actuator_outputs/output[3],/fmu/out/actuator_outputs/output[4],/fmu/out/actuator_outputs/output[5],/fmu/out/actuator_outputs/output[6],/fmu/out/actuator_outputs/output[7],/fmu/out/actuator_outputs/output[8],/fmu/out/actuator_outputs/output[9],/fmu/out/actuator_outputs/timestamp,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],py,pz
1723722467.167383,,,,,,,,,,,,,,,,,,,0.000033456,-0.002360123,0.001253143,0.000048281,0.000063512,0.026037736,1.000000000,30.542442322,8.284634590,-0.526546657,0.000086758,0.000086763,0.101165794,0.982891619,-0.015441904,0.017025977,-0.182745218,0.000000000,17.000000000,1723722467153808.000000000,1723722467151991.000000000,0.002045822,0.005756117,0.107659742,1.000000000,0.000861321,0.000861406,0.003442754,-8.284634590,0.526546657
1723722467.167675,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467156227.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.174503,,,,,,,,,,,,,,,,,,,0.002008603,-0.001110615,0.000549515,0.000048341,0.000063555,0.026039498,1.000000000,30.542448044,8.284632683,-0.526356697,0.000091763,0.000091769,0.101341084,0.982890725,-0.015438587,0.017021906,-0.182750672,0.000000000,17.000000000,1723722467165311.000000000,1723722467164506.000000000,0.002242420,0.005702713,0.107907861,1.000000000,0.000889286,0.000889371,0.003461980,-8.284632683,0.526356697
1723722467.174806,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467166739.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.189383,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467176749.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.189713,,,,,,,,,,,,,,,,,,,-0.000896349,-0.000632178,-0.000712018,0.000048387,0.000063577,0.026041217,1.000000000,30.542453766,8.284631729,-0.526107907,0.000096835,0.000096842,0.101510212,0.982889295,-0.015445102,0.017022429,-0.182757989,0.000000000,17.000000000,1723722467176804.000000000,1723722467176021.000000000,0.002074820,0.005423468,0.108189993,1.000000000,0.000915602,0.000915668,0.003479701,-8.284631729,0.526107907
1723722467.195989,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467186751.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.196352,,,,,,,,,,,,,,,,,,,0.002116396,0.000015801,0.001123683,0.000048420,0.000063613,0.026042853,1.000000000,30.542453766,8.284625053,-0.525917649,0.000101922,0.000101929,0.100835256,0.982889891,-0.015433799,0.017016631,-0.182756037,0.000000000,17.000000000,1723722467188403.000000000,1723722467187536.000000000,0.002065224,0.005400384,0.108340122,1.000000000,0.000940130,0.000940193,0.003491556,-8.284625053,0.525917649
1723722467.218508,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467196769.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.218532,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467206781.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
