,t,q_w,q_x,q_y,q_z,w_x,w_y,w_z,motor_FR,motor_BR,motor_BL,motor_FL
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,1.0,1.96913954118489e-22,-3.7868068099709415e-23,3.557363431079114e-24,2.3326729949421003e-20,-3.93827908236978e-21,4.144016347783389e-22,6.093199782052246e-06,6.093199782052257e-06,6.093199782052259e-06,6.093199782052267e-06
2,0.1,1.0,1.173910111090992e-21,-1.0603059067918638e-22,1.816127646393021e-23,4.998584989161644e-20,1.817667268786052e-21,5.342286135094249e-22,1.271366334913271e-05,1.2713663349132702e-05,1.2713663349132712e-05,1.2713663349132712e-05
3,0.15000000000000002,1.0,2.665911994219543e-21,6.058890895953507e-23,2.053285208464962e-23,6.937430075866768e-20,7.27066907514421e-21,-5.442141950703486e-22,1.85430067997435e-05,1.8543006799743486e-05,1.8543006799743506e-05,1.8543006799743486e-05
4,0.2,1.0,4.46085842214577e-21,2.8779731755779156e-22,-7.052316977402461e-24,7.300963529623979e-20,1.7570783598265173e-20,-1.4429165355534935e-21,2.3371020681153588e-05,2.3371020681153574e-05,2.337102068115358e-05,2.3371020681153588e-05
5,0.25,1.0,6.255804850071997e-21,1.0906003612716312e-21,-6.509350980027222e-23,6.331540986271418e-20,4.544168171965131e-20,-3.759571457687822e-21,3.6417011743120914e-05,3.641701174312087e-05,3.64170117431209e-05,3.641701174312087e-05
6,0.30000000000000004,1.0,8.202223550397062e-21,2.2569368587426813e-21,-1.8804098276914687e-22,1.1663364974710504e-19,3.69592344653164e-20,-5.3572645074356345e-21,4.998572342801292e-05,4.998572342801293e-05,4.998572342801296e-05,4.998572342801295e-05
7,0.35000000000000003,1.0,1.1784542792629574e-20,2.6356175397397754e-21,-3.19975479142853e-22,1.4571632604768185e-19,-9.088336343930256e-21,-5.117610549973463e-21,6.198623916460846e-05,6.198623916460849e-05,6.198623916460846e-05,6.198623916460846e-05
8,0.4,1.0,1.5790984397578832e-20,2.4689980401010537e-21,-4.139647655850485e-22,1.893403404985471e-19,1.9994339956646578e-20,-1.6825704930156656e-21,7.205305882858302e-05,7.205305882858305e-05,7.205305882858302e-05,7.20530588285831e-05
9,0.45,1.0,2.161509327131414e-20,3.695923446531639e-21,-3.921213059205277e-22,2.571999185332264e-19,6.119479804913043e-20,3.749585876126898e-21,8.0346144871525e-05,8.034614487152506e-05,8.0346144871525e-05,8.034614487152507e-05
10,0.5,1.0,2.80450912346448e-20,4.316959763366873e-21,-2.5444510014929037e-22,2.571999185332264e-19,-4.301812536126989e-20,6.385779408210788e-21,8.714961846560951e-05,8.714961846560958e-05,8.714961846560959e-05,8.714961846560954e-05
11,0.55,1.0,3.4959800469651735e-20,1.545017178468144e-21,-1.0678331281712925e-22,2.8628259483380325e-19,-1.448074924132888e-19,4.867971010950366e-21,9.274103045234563e-05,9.27410304523456e-05,9.274103045234563e-05,9.274103045234559e-05
12,0.6000000000000001,1.0,4.2116865340496814e-20,-2.317525767702216e-21,-2.3029247474880668e-23,2.9112970755056606e-19,-1.6904305599710286e-19,1.5927002589673503e-21,9.735555302855008e-05,9.735555302855004e-05,9.735555302855008e-05,9.735555302855004e-05
13,0.65,1.0,4.9152752393422825e-20,-6.301246531791647e-21,-2.3154067244392232e-23,2.620470312499892e-19,-1.448074924132888e-19,-1.1233779256039314e-21,0.00010118252021774148,0.00010118252021774145,0.00010118252021774144,0.00010118252021774144
14,0.7000000000000001,1.0,5.485568344923907e-20,-9.557900388366657e-21,-6.721544588196864e-23,2.0872879136559832e-19,-1.2057192882947476e-19,-2.721070975351744e-21,0.00010437164526307159,0.00010437164526307154,0.00010437164526307157,0.00010437164526307155
15,0.75,1.0,5.958919196170275e-20,-1.1966309519508176e-20,-1.7119031388508803e-22,1.6025766419797025e-19,-7.21008016618467e-20,-5.437149159923025e-21,0.00010704093082569444,0.00010704093082569444,0.00010704093082569441,0.00010704093082569441
16,0.8,1.0,6.274738884121853e-20,-1.3405296107297133e-20,-3.031248102587941e-22,1.117865370303422e-19,-3.817101264450706e-20,-4.7980719400239e-21,0.00010928373824157305,0.00010928373824157305,0.00010928373824157303,0.00010928373824157307
17,0.8500000000000001,1.0,6.566323008489615e-20,-1.448074924132888e-20,-4.03105445637544e-22,1.1663364974710501e-19,-7.210080166184669e-20,-2.880840280326525e-21,0.00011117445050394783,0.00011117445050394791,0.00011117445050394788,0.00011117445050394786
18,0.9,1.0,6.833671569273563e-20,-1.7495047462065747e-20,-4.511610568994899e-22,9.239808616329098e-20,-1.3511326697976314e-19,-9.636086206291497e-22,0.00011277281564633577,0.0001127728156463358,0.00011277281564633577,0.0001127728156463358
19,0.9500000000000001,1.0,7.028313439306069e-20,-2.075170131864076e-20,-4.432974114202624e-22,5.362118442918853e-20,-1.2057192882947471e-19,1.5927002589673507e-21,0.00011412722409573862,0.00011412722409573864,0.0001141272240957386,0.00011412722409573863
20,1.0,1.0,7.138130836795227e-20,-2.3644821721458555e-20,-3.196010198343184e-22,5.846829714595133e-20,-1.157248161127119e-19,1.0220242727605539e-20,0.00011527717442264109,0.00011527717442264123,0.0001152771744226411,0.00011527717442264128
21,1.05,1.0,7.369126052203455e-20,-2.5932053034681e-20,1.3561667957429667e-22,1.117865370303422e-19,-8.179502709537227e-20,2.667648114000801e-20,0.00011625513628625614,0.00011625513628625633,0.00011625513628625616,0.00011625513628625635
22,1.1,1.0,7.684945740155033e-20,-2.834046216582252e-20,9.98246106668604e-22,1.4571632604768187e-19,-1.1572481611271193e-19,4.153502650266267e-20,0.00011708796925833567,0.00011708796925833584,0.00011708796925833569,0.00011708796925833582
23,1.1500000000000001,1.0,8.03711877348233e-20,-3.17182938403166e-20,2.2203564699561688e-21,1.5056343876444468e-19,-1.5450171784681438e-19,5.67131104752669e-20,0.00011779801413712117,0.00011779801413712136,0.00011779801413712117,0.00011779801413712135
24,1.2000000000000002,1.0,8.41352737039344e-20,-3.558083678648696e-20,3.845884328305057e-21,1.6995188963149592e-19,-1.3996037969652595e-19,7.332911819264414e-20,0.00011840394129093146,0.00011840394129093163,0.00011840394129093146,0.00011840394129093166
25,1.25,1.0,8.862642658055996e-20,-3.907984627890011e-20,5.886812379588376e-21,1.8934034049854716e-19,-1.6904305599710279e-19,8.946581799509704e-20,0.00011892141714560935,0.00011892141714560953,0.00011892141714560936,0.00011892141714560951
26,1.3,1.0,9.311757945718549e-20,-4.3790633950503954e-20,8.30319829756243e-21,1.505634387644447e-19,-2.0297284501444245e-19,1.0384505544282736e-19,0.00011936363314316153,0.0001193636331431617,0.00011936363314316153,0.00011936363314316168
